Company name,Company domain name,Website URL,City,State/Region,Country/Region,Industry,Lifecycle Stage,Lead Status,Company Type,Investor Type,Target Round,Stage Fit,Check Size Public,Geography Fit,Thesis Fit,Relevance Score,Priority Tier,Primary Contact Target,Likely Objection,Best Angle,Contact Path,Next Step,Source URL,Research Notes,Outreach Draft
Osage Venture Partners,osageventurepartners.com,https://osageventurepartners.com/,Philadelphia,PA,United States,Venture Capital,Lead,New,Investor Target,Early-stage B2B software VC,Seed / Series A,Post-revenue first institutional round,Not listed on primary source,Strong — East Coast / Philadelphia,Strategic later target if Mimir reaches post-revenue and can show AI-native/domain expertise.,79,Tier 3,B2B software investment partner,"Source indicates preference for post-revenue companies, often $500K-$3M revenue run-rate.",Keep them warm around the canonical data-control thesis; ask what proof threshold would make Mimir investable.,Warm intro via Philly software network; avoid cold pitch until traction.,"Add to nurture list, not immediate ask.",https://osageventurepartners.com/about/,Source says OVP invests in early-stage B2B software and typically in post-revenue companies.,"B2B software investment partner — I’m building Mimir Labs, a deterministic data-control layer for ERP, AI readiness, and regulated manufacturing operations. The immediate wedge is Ratatosk: a short diagnostic that produces a machine-readable governance manifest before migration, integration, or AI automation compounds semantic drift. Keep them warm around the canonical data-control thesis; ask what proof threshold would make Mimir investable. Would it be relevant to send a 1-page memo and ask whether this fits your current investment thesis?"
Grotech Ventures,grotech.com,https://www.grotech.com/,Vienna,VA,United States,Venture Capital,Lead,New,Investor Target,Early-stage technology VC,Seed / early-stage,Young technology companies outside Silicon Valley,$500K-$5M per LinkedIn source,Strong — Mid-Atlantic / outside Silicon Valley,Relevant for enterprise software if traction exists; too broad to be first-touch without warm intro.,76,Tier 3,Enterprise software partner,May require stronger revenue/scale proof than current stage.,Mimir is an infrastructure-first enterprise software company from an underserved region with a precise regulated-manufacturing wedge.,Warm intro via Mid-Atlantic VC network.,Nurture after initial paid pilot or BFTP validation.,https://www.grotech.com/about,Official site positions Grotech as an early-stage fund backing groundbreaking startups beyond Silicon Valley.,"Enterprise software partner — I’m building Mimir Labs, a deterministic data-control layer for ERP, AI readiness, and regulated manufacturing operations. The immediate wedge is Ratatosk: a short diagnostic that produces a machine-readable governance manifest before migration, integration, or AI automation compounds semantic drift. Mimir is an infrastructure-first enterprise software company from an underserved region with a precise regulated-manufacturing wedge. Would it be relevant to send a 1-page memo and ask whether this fits your current investment thesis?"
DataTribe,datatribe.com,https://datatribe.com/,Fulton,MD,United States,Cybersecurity / Data Science Venture Foundry,Lead,New,Investor Target,Cyber startup foundry / seed investor,Seed / foundry model,Cybersecurity and data science startups,Seed investment model; specific terms vary,Strong — DC/Baltimore corridor,"Fit improves if Mimir emphasizes semantic controls, auditability, integration security, and compliance-grade data governance.",87,Tier 2,Foundry team / seed investment team,May view ERP/data clarity as outside cyber unless positioned as governance/security infrastructure.,"Treat deterministic data contracts as security/control infrastructure for AI agents, integrations, and regulated operational systems.",Seek intro via cyber/CMMC network or direct foundry inquiry.,Prepare security/compliance-specific variant of investor memo.,https://datatribe.com/about/,Source says DataTribe invests in and co-builds companies focused on cybersecurity and data science.,"Foundry team / seed investment team — I’m building Mimir Labs, a deterministic data-control layer for ERP, AI readiness, and regulated manufacturing operations. The immediate wedge is Ratatosk: a short diagnostic that produces a machine-readable governance manifest before migration, integration, or AI automation compounds semantic drift. Treat deterministic data contracts as security/control infrastructure for AI agents, integrations, and regulated operational systems. Would it be relevant to send a 1-page memo and ask whether this fits your current investment thesis?"
Schematic Ventures,schematicventures.com,https://www.schematicventures.com/,San Francisco,CA,United States,Venture Capital,Lead,New,Investor Target,Industrial / supply chain / manufacturing VC,Pre-seed / seed,Early-stage technology companies,Not listed on official source,National,"Strong thesis fit: supply chain, manufacturing, and software infrastructure directly overlap Mimir’s ICP.",90,Tier 1,Investment partner focused on industrial software,May expect clearer founder-market fit evidence from manufacturing buyers and a narrow wedge.,"Mimir exposes and formalizes operational semantics before ERP migration, AI automation, or supply-chain integration compounds bad assumptions.",Warm intro preferred; direct website if no path.,Pitch after producing target-account evidence and 2-3 manufacturer conversations.,https://www.schematicventures.com/,"Official site says Schematic invests in supply chain, manufacturing, and software infrastructure.","Investment partner focused on industrial software — I’m building Mimir Labs, a deterministic data-control layer for ERP, AI readiness, and regulated manufacturing operations. The immediate wedge is Ratatosk: a short diagnostic that produces a machine-readable governance manifest before migration, integration, or AI automation compounds semantic drift. Mimir exposes and formalizes operational semantics before ERP migration, AI automation, or supply-chain integration compounds bad assumptions. Would it be relevant to send a 1-page memo and ask whether this fits your current investment thesis?"
Dynamo Ventures,dynamo.vc,https://dynamo.vc/,Chattanooga,TN,United States,Venture Capital,Lead,New,Investor Target,Industrial / supply chain VC,Pre-seed / seed,Industrial economy and supply-chain startups,Not listed on official source,National,Good if Mimir is framed around supply-chain operating truth and ERP/integration failure in manufacturing/logistics.,85,Tier 2,Partner focused on industrial software / operations,May see Mimir as ERP/infrastructure rather than supply-chain category.,"The product protects production, order, inventory, and compliance semantics across fragmented operational systems.",Warm intro through industrial tech network; direct founder form if available.,"Use industry-specific one-pager, not generic ERP deck.",https://dynamo.vc/,Official site says Dynamo backs founders shaping the industrial renaissance from supply-chain and operations roots.,"Partner focused on industrial software / operations — I’m building Mimir Labs, a deterministic data-control layer for ERP, AI readiness, and regulated manufacturing operations. The immediate wedge is Ratatosk: a short diagnostic that produces a machine-readable governance manifest before migration, integration, or AI automation compounds semantic drift. The product protects production, order, inventory, and compliance semantics across fragmented operational systems. Would it be relevant to send a 1-page memo and ask whether this fits your current investment thesis?"
Eclipse,eclipse.capital,https://eclipse.capital/,Palo Alto,CA,United States,Venture Capital,Lead,New,Investor Target,Physical economy / industrial technology VC,Early-stage to growth,Industrial transformation / physical industries,Not listed on official source,National,High concept fit for rebuilding physical-industry systems; likely too large/competitive before significant traction.,74,Tier 3,Industrial software partner,"May require deeper team, traction, and venture-scale industrial proof.",Mimir rebuilds the semantic substrate that physical-industry software needs before AI agents can safely operate.,Only through warm intro; not a cold immediate target.,Nurture content; approach after pilots or with strategic intro.,https://eclipse.capital/,Official site positions Eclipse as operators with capital rebuilding industries that power the world.,"Industrial software partner — I’m building Mimir Labs, a deterministic data-control layer for ERP, AI readiness, and regulated manufacturing operations. The immediate wedge is Ratatosk: a short diagnostic that produces a machine-readable governance manifest before migration, integration, or AI automation compounds semantic drift. Mimir rebuilds the semantic substrate that physical-industry software needs before AI agents can safely operate. Would it be relevant to send a 1-page memo and ask whether this fits your current investment thesis?"
Ironspring Ventures,ironspring.com,https://ironspring.com/,Austin,TX,United States,Venture Capital,Lead,New,Investor Target,Digital industrial VC,Pre-seed / seed / Series A,Early-stage industrial supply chain startups,Not listed on official source,National,Strong industrial software fit; pitch as data/control infrastructure for manufacturing and logistics.,88,Tier 2,Investment partner focused on manufacturing/digital industrial,May need industrial customer discovery proof and clearer product wedge.,"Mimir turns manufacturing data chaos into governed operational canon before integration, reporting, AI, and compliance workflows depend on it.",Warm intro via industrial tech network; direct site contact.,Add after Schematic/Dynamo; use same industrial one-pager.,https://ironspring.com/,Official site says Ironspring invests in early-stage innovators across the industrial supply chain.,"Investment partner focused on manufacturing/digital industrial — I’m building Mimir Labs, a deterministic data-control layer for ERP, AI readiness, and regulated manufacturing operations. The immediate wedge is Ratatosk: a short diagnostic that produces a machine-readable governance manifest before migration, integration, or AI automation compounds semantic drift. Mimir turns manufacturing data chaos into governed operational canon before integration, reporting, AI, and compliance workflows depend on it. Would it be relevant to send a 1-page memo and ask whether this fits your current investment thesis?"
640 Oxford,640oxford.com,https://640oxford.com/,New York,NY,United States,Venture Capital,Lead,New,Investor Target,Early-stage industrial / reindustrialization VC,Pre-seed / seed,Early-stage founders in legacy/industrial transformation,$250K-$400K per Outlander profile; not on official source,National,Good fit for manufacturing and industrial automation if Mimir is presented as reindustrialization-grade enterprise data infrastructure.,86,Tier 2,Founder / investment team,May prefer AI-production/smart-factory products with clearer plant-level use case.,"The plant-level use case is preventing semantic ambiguity from corrupting production, inventory, QA, and compliance systems.",Direct contact form or intro from industrial VC network.,Use a concise 'why now' memo tied to AI agents and compliance wall.,https://640oxford.com/,Official site describes 640 Oxford as early-stage VC creating momentum for founders.,"Founder / investment team — I’m building Mimir Labs, a deterministic data-control layer for ERP, AI readiness, and regulated manufacturing operations. The immediate wedge is Ratatosk: a short diagnostic that produces a machine-readable governance manifest before migration, integration, or AI automation compounds semantic drift. The plant-level use case is preventing semantic ambiguity from corrupting production, inventory, QA, and compliance systems. Would it be relevant to send a 1-page memo and ask whether this fits your current investment thesis?"
SaaS Ventures,saasventurecapital.com,https://saasventurecapital.com/,Bethesda,MD,United States,Venture Capital,Lead,New,Investor Target,B2B SaaS VC,Pre-seed / seed / early-stage,Earliest-stage B2B SaaS founders,Not listed on official source,Strong — Mid-Atlantic plus national,Good regional B2B SaaS target; needs a software wedge more than services framing.,83,Tier 2,Partner focused on B2B SaaS / enterprise tech,May need evidence of repeatable SaaS economics rather than consulting-led diagnostics.,Ratatosk diagnostics create the dataset and customer pull needed for recurring governance enforcement software.,Warm intro from MD/DC software network; direct website contact.,Approach after one or two paid diagnostic commitments.,https://saasventurecapital.com/,Official site says SaaS Ventures invests in visionary B2B SaaS founders at the earliest stages.,"Partner focused on B2B SaaS / enterprise tech — I’m building Mimir Labs, a deterministic data-control layer for ERP, AI readiness, and regulated manufacturing operations. The immediate wedge is Ratatosk: a short diagnostic that produces a machine-readable governance manifest before migration, integration, or AI automation compounds semantic drift. Ratatosk diagnostics create the dataset and customer pull needed for recurring governance enforcement software. Would it be relevant to send a 1-page memo and ask whether this fits your current investment thesis?"
Work-Bench,work-bench.com,https://www.work-bench.com/,New York,NY,United States,Venture Capital,Lead,New,Investor Target,Enterprise software seed VC,Seed,"Enterprise, SaaS, and infrastructure software",Not listed on official source,National / NYC enterprise network,Strong enterprise GTM fit; particularly valuable if they buy the 'GTM is moat' argument for enterprise data infrastructure.,86,Tier 2,Enterprise software partner,Likely wants enterprise customer urgency and a crisp wedge.,Mimir attacks the upstream cause of failed AI/ERP initiatives: operational semantics are not governed before systems act on them.,Warm intro from enterprise SaaS founder/operator; direct outreach if tailored.,Use investor-specific cold email and proof artifact.,https://www.work-bench.com/,"Official site says Work-Bench backs early founders building enterprise, SaaS, and infrastructure software and focuses on enterprise GTM.","Enterprise software partner — I’m building Mimir Labs, a deterministic data-control layer for ERP, AI readiness, and regulated manufacturing operations. The immediate wedge is Ratatosk: a short diagnostic that produces a machine-readable governance manifest before migration, integration, or AI automation compounds semantic drift. Mimir attacks the upstream cause of failed AI/ERP initiatives: operational semantics are not governed before systems act on them. Would it be relevant to send a 1-page memo and ask whether this fits your current investment thesis?"
Stage 2 Capital,stage2.capital,https://www.stage2.capital/,Boston,MA,United States,Venture Capital,Lead,New,Investor Target,B2B software GTM-focused VC,Pre-seed through Series A,B2B software with GTM scaling needs,$200K-$4M per official investing page,National,Strong once Mimir has pilot/revenue signals; their LP/operator base could be valuable for enterprise GTM.,85,Tier 2,Partner / GTM operator LP path,"May need evidence of revenue engine and customer retention, not just technical architecture.",Mimir needs GTM leverage to turn a technically differentiated enterprise infrastructure product into a repeatable diagnostic and software motion.,Warm intro from B2B SaaS GTM operator; direct application if no path.,Nurture; pitch after initial paid engagements or LOIs.,https://www.stage2.capital/about/investing,Official site says Stage 2 backs B2B founders early with $200K-$4M checks from pre-seed through Series A.,"Partner / GTM operator LP path — I’m building Mimir Labs, a deterministic data-control layer for ERP, AI readiness, and regulated manufacturing operations. The immediate wedge is Ratatosk: a short diagnostic that produces a machine-readable governance manifest before migration, integration, or AI automation compounds semantic drift. Mimir needs GTM leverage to turn a technically differentiated enterprise infrastructure product into a repeatable diagnostic and software motion. Would it be relevant to send a 1-page memo and ask whether this fits your current investment thesis?"
Forum Ventures,forumvc.com,https://www.forumvc.com/,New York,NY,United States,Venture Capital / Accelerator,Lead,New,Investor Target,B2B AI pre-seed fund and accelerator,Pre-seed,B2B tech / AI startups,$100K accelerator funding per official accelerator page,National,Potential fit if Mimir is packaged as B2B AI prerequisite/infrastructure rather than ERP company.,80,Tier 2,Accelerator admissions / investment team,May push accelerator terms and expect broader SaaS packaging.,Mimir is a founder-led enterprise infrastructure company solving the truth substrate problem before AI agents enter operational systems.,Accelerator application or founder/operator intro.,Evaluate terms before applying; good if capital + mentors outweigh dilution.,https://www.forumvc.com/accelerator,Official accelerator page describes $100K pre-seed funding and B2B tech accelerator support.,"Accelerator admissions / investment team — I’m building Mimir Labs, a deterministic data-control layer for ERP, AI readiness, and regulated manufacturing operations. The immediate wedge is Ratatosk: a short diagnostic that produces a machine-readable governance manifest before migration, integration, or AI automation compounds semantic drift. Mimir is a founder-led enterprise infrastructure company solving the truth substrate problem before AI agents enter operational systems. Would it be relevant to send a 1-page memo and ask whether this fits your current investment thesis?"
Differential Ventures,differential.vc,https://www.differential.vc/,New York,NY,United States,Venture Capital,Lead,New,Investor Target,AI/data-focused pre-seed and seed VC,Pre-seed / seed,Data-focused founders,$250K-$3M per official site,National / NYC,"Strong fit for canonical data infrastructure, AI-readiness, and data-driven enterprise operations.",89,Tier 2,Partner focused on data infrastructure / AI-native,May expect Mimir to be more explicitly AI/data platform than ERP architecture.,Mimir’s core asset is deterministic semantic data infrastructure; Yggdrasil ERP is the proof of a governed runtime substrate.,Warm intro from data/AI founder; direct website contact.,Prioritize after Schematic/DataTribe; use data-infrastructure deck variant.,https://www.differential.vc/,"Official site says Differential is AI-native and partners early with data-focused founders, with initial check sizes $250K-$3M.","Partner focused on data infrastructure / AI-native — I’m building Mimir Labs, a deterministic data-control layer for ERP, AI readiness, and regulated manufacturing operations. The immediate wedge is Ratatosk: a short diagnostic that produces a machine-readable governance manifest before migration, integration, or AI automation compounds semantic drift. Mimir’s core asset is deterministic semantic data infrastructure; Yggdrasil ERP is the proof of a governed runtime substrate. Would it be relevant to send a 1-page memo and ask whether this fits your current investment thesis?"
Zetta Venture Partners,zettavp.com,https://www.zettavp.com/,San Francisco,CA,United States,Venture Capital,Lead,New,Investor Target,AI-native B2B VC,Pre-seed / seed,"AI-native B2B apps, infrastructure, developer tools",Up to $5M initially per official FAQ,North America / Europe,Strong if positioned as AI-native data infrastructure; less strong if pitched as ERP replacement first.,86,Tier 2,Partner focused on data infrastructure,They may not see deterministic ERP substrate as AI-native enough without AI workflow pull.,AI cannot safely operate over ambiguous ERP semantics; Mimir creates the governed substrate AI agents need.,Warm intro; direct pitch only with highly tailored AI infrastructure memo.,Add to second wave after stronger proof points.,https://www.zettavp.com/faq,Official FAQ says Zetta leads pre-seed and seed rounds in AI-native startups with B2B business models.,"Partner focused on data infrastructure — I’m building Mimir Labs, a deterministic data-control layer for ERP, AI readiness, and regulated manufacturing operations. The immediate wedge is Ratatosk: a short diagnostic that produces a machine-readable governance manifest before migration, integration, or AI automation compounds semantic drift. AI cannot safely operate over ambiguous ERP semantics; Mimir creates the governed substrate AI agents need. Would it be relevant to send a 1-page memo and ask whether this fits your current investment thesis?"
Glasswing Ventures,glasswing.vc,https://glasswing.vc/,Boston,MA,United States,Venture Capital,Lead,New,Investor Target,AI-native enterprise and cybersecurity VC,Pre-seed / seed / early-stage,AI-native and frontier tech in enterprise B2B/security,Not listed on official source,North America,Good if Mimir is framed as enterprise AI defense/governance infrastructure for operational systems.,84,Tier 2,AI/security investment team,May require clear cybersecurity or AI-native product category.,Mimir prevents AI-driven operational corruption by enforcing canonical semantics and deterministic state transitions.,Warm intro from AI/security network; direct content-led outreach.,"Use the AI agent risk / deterministic substrate essay as intellectual credibility, but convert it into a business memo.",https://glasswing.vc/,Official site says Glasswing invests in early-stage AI-native and frontier tech transforming enterprise B2B and cybersecurity markets.,"AI/security investment team — I’m building Mimir Labs, a deterministic data-control layer for ERP, AI readiness, and regulated manufacturing operations. The immediate wedge is Ratatosk: a short diagnostic that produces a machine-readable governance manifest before migration, integration, or AI automation compounds semantic drift. Mimir prevents AI-driven operational corruption by enforcing canonical semantics and deterministic state transitions. Would it be relevant to send a 1-page memo and ask whether this fits your current investment thesis?"
